Unnamed: 0,TRACTCE_a,TRACTCE_b,distance,SOURCE,TARGET,FOREIGN75K_2010_a,FOREIGN75K_2010_b,FOREIGN75K_2010_delta,WEIGHT
142078,010401,026400,4935.148337680405,53033010401,53033026400,3.1000885739592565,0.6313316693583908,2.4687569046008657,2.7153960479088197
142475,011600,026400,6113.772560584762,53033011600,53033026400,2.5697969543147208,0.6313316693583908,1.93846528495633,2.355996012519173
143666,011700,026400,2449.351249308131,53033011700,53033026400,0.9689922480620154,0.6313316693583908,0.33766057870362465,0.5488296457640752
147239,009800,026400,8706.926628428491,53033009800,53033026400,1.713726130243186,0.6313316693583908,1.0823944608847953,1.844847677639165
147636,010701,026400,5472.65630865528,53033010701,53033026400,0.0,0.6313316693583908,0.6313316693583908,1.1154641332880797
153591,011001,026400,3682.854039858316,53033011001,53033026400,0.4098360655737705,0.6313316693583908,0.2214956037846203,0.5676314473919898
154782,009400,026400,8678.09892258718,53033009400,53033026400,0.4763649688530597,0.6313316693583908,0.15496670050533112,1.0072799227135159
155179,010200,026400,6443.283683775827,53033010200,53033026400,2.2176165803108807,0.6313316693583908,1.58628491095249,2.0719847882348237
5511,010702,028000,9628.853867979178,53033010702,53033028000,0.9923664122137404,1.0654885654885655,0.07312215327482507,1.0286953247452602
5908,012100,028000,6310.418663502884,53033012100,53033028000,4.405458089668616,1.0654885654885655,3.3399695241800504,3.6370144381123337
8290,026500,028000,5216.430717839581,53033026500,53033028000,0.4819277108433736,1.0654885654885655,0.5835608546451919,1.046847840964631
8687,027100,028000,3370.7156970334495,53033027100,53033028000,0.0,1.0654885654885655,1.0654885654885655,1.296011278643054
9084,027900,028000,1775.670521209929,53033027900,53033028000,1.7078724788549122,1.0654885654885655,0.6423839133663467,0.7557125741507049
11863,025805,028000,9937.327002985523,53033025805,53033028000,2.0120724346076457,1.0654885654885655,0.9465838691190802,1.8456581825057243
23376,011401,028000,7549.2386149297,53033011401,53033028000,1.7606532278642508,1.0654885654885655,0.6951646623756853,1.3805720576310867
23773,012000,028000,6655.528235269702,53033012000,53033028000,0.7433920704845814,1.0654885654885655,0.3220964950039841,0.9554396690305558
25758,026600,028000,5899.819322600707,53033026600,53033028000,0.4217629692113032,1.0654885654885655,0.6437255962772623,1.1693349689096069
32507,025806,028000,8753.38638649968,53033025806,53033028000,2.4875621890547266,1.0654885654885655,1.422073623566161,2.155204899859513
32904,027300,028000,2322.145326980952,53033027300,53033028000,0.6342159505311559,1.0654885654885655,0.43127261495740965,0.6203598861597639
36874,027800,028000,3275.8287714502367,53033027800,53033028000,0.2697841726618705,1.0654885654885655,0.795704392826695,1.0437168306890492
46005,027500,028000,2081.7131484497713,53033027500,53033028000,0.15808491418247514,1.0654885654885655,0.9074036513060904,1.0248346010204585
47196,026700,028000,4505.646015294442,53033026700,53033028000,0.8479162908172471,1.0654885654885655,0.21757227467131846,0.6463796487336307
47593,026801,028000,4731.894405689625,53033026801,53033028000,0.0,1.0654885654885655,1.0654885654885655,1.4321291495086714
47990,026802,028000,3733.892738183039,53033026802,53033028000,0.5889777029869584,1.0654885654885655,0.4765108625016071,0.8022490500697503
51563,027400,028000,1775.8293249429125,53033027400,53033028000,0.809968847352025,1.0654885654885655,0.2555197181365405,0.40755067881717766
58312,026300,028000,5496.449594961181,53033026300,53033028000,0.6818181818181818,1.0654885654885655,0.38367038367038375,0.8949483047994634
62282,025302,028000,8794.813637513673,53033025302,53033028000,0.6665079742918353,1.0654885654885655,0.39898059119673024,1.2385638958284244
63076,026001,028000,7568.317388612644,53033026001,53033028000,2.476038338658147,1.0654885654885655,1.4105497731695813,2.0263265347138875
63473,026100,028000,6155.075241601978,53033026100,53033028000,0.6982543640897756,1.0654885654885655,0.36723420139878993,0.9460183054191085
63870,026200,028000,6153.018272704192,53033026200,53033028000,0.8971072867081655,1.0654885654885655,0.1683812787804,0.7668449781727791
70619,010900,028000,8403.715182089893,53033010900,53033028000,0.0,1.0654885654885655,1.0654885654885655,1.7993112271486982
71016,011101,028000,8832.019889094465,53033011101,53033028000,1.4175876982220088,1.0654885654885655,0.3520991327334433,1.2000912083695452
71413,011200,028000,6929.4163948837595,53033011200,53033028000,0.8532423208191127,1.0654885654885655,0.21224624466945285,0.8839632596908834
71810,011900,028000,7129.777227403367,53033011900,53033028000,0.33055665741108026,1.0654885654885655,0.7349319080774852,1.3744164400100733
89278,010800,028000,9262.954922613271,53033010800,53033028000,1.6442451420029895,1.0654885654885655,0.578756576514424,1.4471764111243086
96027,011300,028000,6919.227123727364,53033011300,53033028000,1.3207888547132258,1.0654885654885655,0.2553002892246603,0.9216929726749307
100394,011002,028000,8405.624079144509,53033011002,53033028000,1.4308426073131957,1.0654885654885655,0.36535404182463016,1.1693810455566178
100791,011102,028000,9376.459999778288,53033011102,53033028000,4.542211652794292,1.0654885654885655,3.476723087305727,4.066696778552983
