,TRACTCE_a,TRACTCE_b,distance
525,032212,032602,10480.731445118934
559,032212,032500,20333.466360196766
598,032212,032215,5029.132484719546
599,032212,032307,21877.31220486635
600,032212,032311,20886.093358460635
601,032212,032315,10641.490058470996
602,032212,032320,22574.885275080404
688,032212,032328,11081.903369510268
689,032212,032401,20397.14341161146
690,032212,032402,15726.983638546231
691,032212,032601,11381.43674817049
692,032212,032325,15059.564440032207
693,032212,032703,15349.369374299347
705,032212,032321,18902.547963989113
706,032212,032323,16491.479784390332
725,032212,032704,19791.262438223184
733,032212,032313,12868.438603138444
734,032212,032327,16003.819369405895
735,032212,032319,23761.729598867696
776,032212,032316,9369.532488153769
777,032212,032326,17284.49676350468
840,032322,032702,50949.828248442725
891,032322,032800,48483.01105513208
907,032322,032324,4799.011209206036
908,032322,032329,6945.138266853525
922,032322,032602,26923.997355922347
956,032322,032500,20464.02474005968
1085,032322,032328,7893.831609915606
1086,032322,032401,11647.16384878918
1087,032322,032402,11239.018619210723
1088,032322,032601,23530.458005396
1089,032322,032325,4432.378957691248
1090,032322,032703,31315.16753200195
1103,032322,032323,3220.7877910064217
1122,032322,032704,35796.60474686909
1131,032322,032327,4659.261684825395
1174,032322,032326,2203.4300672400595
1191,000200,031705,41267.75693415576
1192,000200,032212,28735.234238507208
1193,000200,032322,15925.294602437472
1195,000200,000900,3582.912832186765
1196,000200,002400,4746.225475152872
1197,000200,004400,6263.114669355922
1198,000200,005000,7691.8819645867
1199,000200,005801,9760.727668089547
1200,000200,006800,10659.600470968575
1201,000200,007900,12480.294153406307
1202,000200,009000,14272.966179757384
1203,000200,009100,14285.32051466345
1204,000200,010702,20549.754333582536
1205,000200,012100,25054.205360439748
1206,000200,022003,8388.13598322681
1207,000200,022604,11649.602553139493
1208,000200,023201,17662.396478681505
1209,000200,023803,14609.255376592804
1210,000200,025200,25845.686442898717
1211,000200,026500,23863.98619147855
1212,000200,027100,26093.343819536236
1213,000200,027900,29312.059100091705
1214,000200,028200,29105.520842332586
1215,000200,029303,33237.86493541792
1216,000200,029502,40425.923414527875
1217,000200,030006,44949.132793283155
1218,000200,030802,49524.63980255256
1219,000200,031501,55441.02611760219
1220,000200,025805,31475.651082792745
1221,000200,028500,31333.359454806785
1222,000200,029204,37071.01012214717
1223,000200,029305,34611.64327042234
1224,000200,029503,39771.555956082164
1225,000200,030004,41856.064280864084
1226,000200,030202,44735.35148394766
1227,000200,030312,48390.41740740987
1228,000200,030504,45649.75867410112
1229,000200,031601,47174.24673344729
1230,000200,007600,11651.79808853465
1231,000200,008200,13036.619940973298
1232,000200,008900,14615.051632535415
1233,000200,010002,16681.508722121376
1234,000200,010300,19290.934162596142
1235,000200,032213,28503.213198647867
1236,000200,032318,23218.521972386134
1237,000200,032702,64290.18048438842
1239,000200,000700,1361.5500886556702
1240,000200,001300,3630.9436439774154
1241,000200,002100,3590.3530854727087
1242,000200,003000,6665.721194518598
1243,000200,003300,7544.06465449437
1244,000200,006100,9146.963874115514
1245,000200,006900,11114.833804771177
1246,000200,022603,10864.22760618036
1247,000200,022801,14767.774017771431
1248,000200,023202,18294.676413361525
1249,000200,011401,22246.094665052362
1250,000200,012000,24350.037498184705
1251,000200,020600,3665.2922779167
1252,000200,025400,27490.657687577583
1253,000200,021802,11246.978502784032
1254,000200,025601,28955.309776197086
1255,000200,026600,24110.28621575568
1256,000200,029403,36329.514195312884
1257,000200,032203,22925.117993539054
1258,000200,023804,15135.812173414479
1259,000200,024901,21472.834965582595
1260,000200,021000,2469.945572018169
1261,000200,021804,9569.595966415174
1262,000200,022005,8869.336749408709
1263,000200,004302,6901.4219240543325
1264,000200,005302,8110.292286992339
1265,000200,008300,12845.883959680845
1266,000200,007100,12125.523876549147
